"id";"beginlifespanversion";"endlifespanversion";"creationdate";"alternatieveid";"rioollinktypeid";"startkoppelpuntid";"endkoppelpuntid";"diameter";"pressure";"label";"namespaceid";"omschrijving";"sewerwatertypeid";"straatid";"user_id";"st_astext"
"634693";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080264";"1";"136512";"136509";"1000";"1";"(null)";"2";"(null)";"2";"9200";"(null)";"LINESTRING(140208.398730968 196574.245549731,140193.187102953 196593.066659732,140183.776617842 196603.250705114,140174.108232713 196611.629869717,140158.638844462 196625.939057342,140144.716297189 196641.27956547,140135.047912059 196651.85039099,140125.637426948 196663.32351711,140116.613582189 196677.374804717,140093.796210057 196709.473921621,140072.396938568 196743.24875962,140052.673388172 196774.574176469,140038.493080663 196797.778328734,140031.660757036 196805.126312613,140024.05501292 196810.669555499,140008.714504788 196815.826018249)"
"634694";"2/6/2014 12:50:41 AM";"(null)";"2/6/2014 12:50:41 AM";"20080265";"1";"136509";"125603";"1000";"1";"(null)";"2";"(null)";"2";"9200";"(null)";"LINESTRING(140008.714504788 196815.826018249,139996.854598528 196816.857338754,139982.287650668 196816.857338753,139965.013521424 196818.662079748,139949.80189341 196819.693260467,139934.848165414 196821.498141245,139920.796738023 196825.494403371,139907.90565104 196831.424286608,139894.49876402 196839.545690976,139870.779091284 196855.144099125,139852.344761415 196867.777425868)"
"634764";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080335";"1";"136577";"136654";"1000";"1";"(null)";"2";"(null)";"0";"9352";"(null)";"LINESTRING(140455.909082566 198978.190189018,140430.384529052 198995.206558025,140405.909607644 199012.229357059,140398.414432044 199034.782399142,140384.363144433 199092.019149641,140377.91760094 199108.262098162,140363.784540156 199120.264303727,140349.556985924 199128.759069041,140319.778410049 199141.263515668,140308.305283925 199146.548858535,140299.152559049 199153.381182163)"
"634765";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080336";"1";"136576";"136577";"1000";"1";"(null)";"2";"(null)";"0";"9352";"(null)";"LINESTRING(140454.491121711 198926.238781385,140452.94414095 198937.196247254,140455.909082566 198978.190189018)"
"634767";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080338";"1";"136658";"136660";"1000";"1";"(null)";"2";"(null)";"0";"9352";"(null)";"LINESTRING(140310.625685168 199224.1536998,140328.931134916 199257.541757665)"
"634770";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080341";"1";"136654";"136658";"1000";"1";"(null)";"2";"(null)";"0";"9352";"(null)";"LINESTRING(140299.152559049 199153.381182163,140294.253856534 199164.854308285,140293.480436045 199175.811774155,140295.542937274 199187.671680415,140310.625685168 199224.1536998)"
"634852";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080423";"1";"125650";"125651";"1000";"1";"(null)";"2";"(null)";"0";"9200";"(null)";"LINESTRING(139672.641845866 197057.148586737,139665.680642116 197128.179004392,139663.102340847 197170.719787131)"
"634853";"2/6/2014 12:50:41 AM";"(null)";"2/6/2014 12:50:41 AM";"20080424";"1";"125603";"125649";"1000";"1";"(null)";"2";"(null)";"0";"9200";"(null)";"LINESTRING(139852.344761415 196867.777425868,139831.97667065 196877.316791097,139815.218201659 196882.344373724,139796.397091654 196889.047817234,139781.701123893 196893.044079361,139769.454437498 196897.427121621,139760.043952387 196902.454564468,139751.922548018 196908.126687472,139744.591058555 196916.345380953,139738.330308464 196927.475618866,139728.939393001 196950.779156991,139719.200557134 196969.909187884,139699.374825214 196998.430134236,139683.723159661 197017.907805967,139678.853811619 197025.907598943,139674.962247116 197033.299894102)"
"634854";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080425";"1";"125649";"125650";"1000";"1";"(null)";"2";"(null)";"0";"9200";"(null)";"LINESTRING(139674.962247116 197033.299894102,139672.641845866 197057.148586737)"
"634880";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080451";"1";"136558";"136562";"1000";"1";"(null)";"2";"(null)";"2";"9286";"(null)";"LINESTRING(140132.34045099 198315.582139667,140166.889128826 198343.171291163,140188.288540095 198365.344122922,140204.402468713 198388.806035423,140220.387517214 198414.459469058,140235.856905462 198430.831297695,140249.908193068 198440.757443061,140263.572840322 198446.429566065,140288.581733581 198453.64866983)"
"634943";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080514";"1";"485241";"136674";"1000";"1";"(null)";"1";"(null)";"0";"(null)";"(null)";"LINESTRING(140296.316637321 199287.255194562,140295.800837285 199288.996194414,140308.434164029 199333.470738048,140311.399105647 199352.807508306,140310.238905021 199371.757498428,140300.57051989 199404.887796056,140292.062335384 199429.896689315,140284.456591267 199452.32728131,140284.198831032 199454.389922322,140285.616791891 199459.933025425,140289.097393762 199466.378708699,140291.031014875 199467.79666956,140299.152559026 199472.566491957,140334.73213802 199481.332436698,140369.022636273 199486.617779567,140402.797474272 199494.610303822,140441.213114768 199504.53658897,140482.078176412 199514.720494571,140533.513923791 199527.998501478,140558.909457403 199533.025944329,140571.929564287 199533.15496423,140638.190159545 199529.803242479,140648.374204926 199532.510423866,140655.335408669 199559.323918338,140668.742295687 199576.21140723,140693.751049163 199592.325335852,140737.838952445 199592.325335855,140767.230748183 199597.224038372,140910.322764214 199631.772296873,140916.0882624 199633.231074426,140921.022330066 199634.479478256)"
"634440";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080011";"1";"136514";"136515";"1000";"1";"(null)";"2";"(null)";"0";"9365";"(null)";"LINESTRING(140029.598255745 197655.169804961,140037.590779996 197663.29120933)"
