"id";"beginlifespanversion";"endlifespanversion";"creationdate";"alternatieveid";"rioollinktypeid";"startkoppelpuntid";"endkoppelpuntid";"diameter";"pressure";"label";"namespaceid";"omschrijving";"sewerwatertypeid";"straatid";"user_id";"st_astext"
"634265";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079836";"1";"125674";"125669";"1000";"1";"(null)";"2";"(null)";"0";"9217";"(null)";"LINESTRING(139967.330428025 197757.912140032,139947.090518462 197771.962169588,139915.380418222 197792.33207753,139882.900392073 197814.76211039,139843.911081291 197838.86506868,139803.280296295 197932.824125894,139804.650451297 197941.612156381)"
"634266";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079837";"1";"125669";"125670";"1000";"1";"(null)";"2";"(null)";"0";"9217";"(null)";"LINESTRING(139804.650451297 197941.612156381,139808.359179364 197948.060635319,139853.751399756 197971.867672561,139864.720467632 197975.512100355)"
"634267";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079838";"1";"136517";"125674";"1000";"1";"(null)";"2";"(null)";"0";"9217";"(null)";"LINESTRING(140048.376452289 197870.035745533,140042.780231568 197871.630811715,140013.600347171 197884.821733678,139999.609865262 197850.845048726,139966.432740264 197769.301116665,139967.330428025 197757.912140032)"
"634268";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079839";"1";"125681";"125670";"1000";"1";"(null)";"2";"(null)";"0";"9217";"(null)";"LINESTRING(139848.860385314 198015.222133353,139864.720467632 197975.512100355)"
"634269";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079840";"1";"398816";"125667";"1000";"1";"(null)";"2";"(null)";"0";"9217";"(null)";"LINESTRING(139829.726859855 197815.269523432,139799.347775324 197764.50445588,139803.740462628 197755.202162974)"
"634273";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079844";"1";"398928";"136584";"1000";"1";"(null)";"2";"(null)";"0";"9177";"(null)";"LINESTRING(140332.205836199 198192.113030132,140377.010407989 198172.102085467,140408.080440921 198157.672125153,140426.650500284 198151.092110217,140440.050398143 198147.222072329,140449.980457437 198145.162087197,140465.710401585 198143.612170991,140489.040498521 198143.232100451,140518.170480311 198145.812079119,140535.960409591 198149.672052619,140552.460419431 198153.412092124)"
"634274";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079845";"1";"136580";"136564";"1000";"1";"(null)";"2";"(null)";"0";"9177";"(null)";"LINESTRING(140534.160421235 198022.822146405,140311.997098296 198149.176660912,140307.9664495 198158.035561487)"
"634277";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079848";"2";"125333";"125382";"1000";"1";"(null)";"2";"(null)";"0";"9308";"(null)";"LINESTRING(138488.070438919 195915.762083392,138477.963134517 195927.921545064,138424.525412036 195926.845633712,138380.77089169 196129.837689699,138377.720402744 196177.842038896)"
"634284";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079855";"1";"125386";"125387";"1000";"1";"(null)";"2";"(null)";"0";"9337";"(null)";"LINESTRING(138315.588723844 196645.275827471,138329.382251213 196686.398649353,138357.613986105 196770.32015399,138374.50133521 196821.369121236)"
"634285";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079856";"1";"125387";"125395";"1000";"1";"(null)";"2";"(null)";"0";"9337";"(null)";"LINESTRING(138374.50133521 196821.369121236,138385.45894086 196861.202862375,138396.932066981 196899.102842619,138411.885794974 196947.444768261)"
